#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_kaz+is_zyyy,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_kaz+is_zyyy,#adm1+name+alt2+i_kaz+is_zyyy,#adm1+name+alt1+i_rus+is_cyrl,#adm1+name+alt2+i_rus+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_kaz+is_zyyy,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:398:1:11,11,Akmola,Ақмола,Акмолинская ,KZ11,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:15,15,Aktobe,Ақтөбе ,Актюбинская ,KZ15,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:19,19,Almaty,Алматы,Алматинская ,KZ19,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:23,23,Atyrau,Атырау ,Атырауская ,KZ23,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:27,27,West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:31,31,Jambyl,Жамбыл ,Жамбылская ,KZ31,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:35,35,Karagandy,Қарағанды ,Карагандинская ,KZ35,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:39,39,Kostanay,Қостанай ,Костанайская ,KZ39,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:43,43,Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:47,47,Mangystau,Маңғыстау ,Мангистауская ,KZ47,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:55,55,Pavlodar,Павлодар ,Павлодарская ,KZ55,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:59,59,North Kazakhstan,Солтүстiк Қазақстан ,Северо-Казахстанская ,KZ59,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:61,61,Turkestan,Түркістан ,Туркестанская,KZ61,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:63,63,East Kazakhstan,Шығыс Қазақстан ,Восточно-Казахстанская ,KZ63,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:71,71,Nur-Sultan (city),Нұр-Сұлтан,Нур-Султан,KZ71,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:75,75,Almaty (city),Алматы (қала),Алматы ,KZ75,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:1:79,79,Shymkent (city),Шымкент,Чимкент,KZ79,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
