admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Ahafo,GH01,,,,Ghana,GH,2021-03-10,2021-12-31,
Ashanti,GH02,,,,Ghana,GH,2021-03-10,2021-12-31,
Bono,GH03,,,,Ghana,GH,2021-03-10,2021-12-31,
Bono East,GH04,,,,Ghana,GH,2021-03-10,2021-12-31,
Central,GH05,,,,Ghana,GH,2021-03-10,2021-12-31,
Eastern,GH06,,,,Ghana,GH,2021-03-10,2021-12-31,
Greater Accra,GH07,,,,Ghana,GH,2021-03-10,2021-12-31,
Northern,GH08,,,,Ghana,GH,2021-03-10,2021-12-31,
Northern East,GH09,,,,Ghana,GH,2021-03-10,2021-12-31,
Oti,GH10,,,,Ghana,GH,2021-03-10,2021-12-31,
Savannah,GH11,,,,Ghana,GH,2021-03-10,2021-12-31,
Upper East,GH12,,,,Ghana,GH,2021-03-10,2021-12-31,
Upper West,GH13,,,,Ghana,GH,2021-03-10,2021-12-31,
Volta,GH14,,,,Ghana,GH,2021-03-10,2021-12-31,
Western,GH15,,,,Ghana,GH,2021-03-10,2021-12-31,
Western North,GH16,,,,Ghana,GH,2021-03-10,2021-12-31,
