admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Ombella M'Poko,CF11,Ombella MPoko,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Lobaye,CF12,Lobaye,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Mambéré-Kadéï,CF21,Mambere-Kadei,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Nana-Mambéré,CF22,Nana-Mambere,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Sangha-Mbaéré,CF23,Sangha-Mbaere,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouham Pendé,CF31,Ouham Pende,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouham,CF32,Ouham,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Kémo,CF41,Kemo,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Nana-Gribizi,CF42,Nana-Gribizi,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouaka,CF43,Ouaka,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Bamingui-Bangoran,CF51,Bamingui-Bangoran,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Haute-Kotto,CF52,Haute-Kotto,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Vakaga,CF53,Vakaga,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Basse-Kotto,CF61,Basse-Kotto,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Mbomou,CF62,Mbomou,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Haut-Mbomou,CF63,Haut-Mbomou,,,République centrafricaine,CF,2014-08-02,2015-06-15,
Bangui,CF71,Bangui,,,République centrafricaine,CF,2014-08-02,2015-06-15,
