admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Islas de La Bahia,HN11,Islas de La Bahia,,,Honduras,HN,2015-06-25,2016-10-05,
Colon,HN02,Colon,,,Honduras,HN,2015-06-25,2016-10-05,
Atlantida,HN01,Atlantida,,,Honduras,HN,2015-06-25,2016-10-05,
Cortes,HN05,Cortes,,,Honduras,HN,2015-06-25,2016-10-05,
Yoro,HN18,Yoro,,,Honduras,HN,2015-06-25,2016-10-05,
Olancho,HN15,Olancho,,,Honduras,HN,2015-06-25,2016-10-05,
Santa Barbara,HN16,Santa Barbara,,,Honduras,HN,2015-06-25,2016-10-05,
Copan,HN04,Copan,,,Honduras,HN,2015-06-25,2016-10-05,
Lempira,HN13,Lempira,,,Honduras,HN,2015-06-25,2016-10-05,
Comayagua,HN03,Comayagua,,,Honduras,HN,2015-06-25,2016-10-05,
Intibuca,HN10,Intibuca,,,Honduras,HN,2015-06-25,2016-10-05,
Francisco Morazan,HN08,Francisco Morazan,,,Honduras,HN,2015-06-25,2016-10-05,
Ocotepeque,HN14,Ocotepeque,,,Honduras,HN,2015-06-25,2016-10-05,
La Paz,HN12,La Paz,,,Honduras,HN,2015-06-25,2016-10-05,
El Paraiso,HN07,El Paraiso,,,Honduras,HN,2015-06-25,2016-10-05,
Valle,HN17,Valle,,,Honduras,HN,2015-06-25,2016-10-05,
Choluteca,HN06,Choluteca,,,Honduras,HN,2015-06-25,2016-10-05,
Gracias a Dios,HN09,Gracias a Dios,,,Honduras,HN,2015-06-25,2016-10-05,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
