admin2Name_en,admin2Name_fr,admin2Name_rw,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_fr,admin2AltName2_fr,admin2AltName1_rw,admin2AltName2_rw,admin1Name_en,admin1Name_fr,admin1Name_rw,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_rw,admin0Pcode,date,validOn,validTo
Nyarugenge,,,RW11,,,,,,,,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gasabo,,,RW12,,,,,,,,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kicukiro,,,RW13,,,,,,,,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyanza,,,RW21,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gisagara,,,RW22,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyaruguru,,,RW23,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Huye,,,RW24,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyamagabe,,,RW25,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ruhango,,,RW26,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Muhanga,,,RW27,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kamonyi,,,RW28,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Karongi,,,RW31,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rutsiro,,,RW32,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rubavu,,,RW33,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyabihu,,,RW34,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ngororero,,,RW35,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rusizi,,,RW36,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyamasheke,,,RW37,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rulindo,,,RW41,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gakenke,,,RW42,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Musanze,,,RW43,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Burera,,,RW44,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gicumbi,,,RW45,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Rwamagana,,,RW51,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Nyagatare,,,RW52,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Gatsibo,,,RW53,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kayonza,,,RW54,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Kirehe,,,RW55,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Ngoma,,,RW56,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
Bugesera,,,RW57,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
