admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Ciudad de Buenos Aires,AR002,Ciudad de Buenos Aires,,,Argentina,AR,2020-05-04,2020-05-04,
Buenos Aires,AR006,Buenos Aires,,,Argentina,AR,2020-05-04,2020-05-04,
Catamarca,AR010,Catamarca,,,Argentina,AR,2020-05-04,2020-05-04,
Córdoba,AR014,Cordoba,,,Argentina,AR,2020-05-04,2020-05-04,
Corrientes,AR018,Corrientes,,,Argentina,AR,2020-05-04,2020-05-04,
Chaco,AR022,Chaco,,,Argentina,AR,2020-05-04,2020-05-04,
Chubut,AR026,Chubut,,,Argentina,AR,2020-05-04,2020-05-04,
Entre Ríos,AR030,Entre Rios,,,Argentina,AR,2020-05-04,2020-05-04,
Formosa,AR034,Formosa,,,Argentina,AR,2020-05-04,2020-05-04,
Jujuy,AR038,Jujuy,,,Argentina,AR,2020-05-04,2020-05-04,
La Pampa,AR042,La Pampa,,,Argentina,AR,2020-05-04,2020-05-04,
La Rioja,AR046,La Rioja,,,Argentina,AR,2020-05-04,2020-05-04,
Mendoza,AR050,Mendoza,,,Argentina,AR,2020-05-04,2020-05-04,
Misiones,AR054,Misiones,,,Argentina,AR,2020-05-04,2020-05-04,
Neuquén,AR058,Neuquen,,,Argentina,AR,2020-05-04,2020-05-04,
Río negro,AR062,Rio negro,,,Argentina,AR,2020-05-04,2020-05-04,
Salta,AR066,Salta,,,Argentina,AR,2020-05-04,2020-05-04,
San Juan,AR070,San Juan,,,Argentina,AR,2020-05-04,2020-05-04,
San Luis,AR074,San Luis,,,Argentina,AR,2020-05-04,2020-05-04,
Santa Cruz,AR078,Santa Cruz,,,Argentina,AR,2020-05-04,2020-05-04,
Santa Fe,AR082,Santa Fe,,,Argentina,AR,2020-05-04,2020-05-04,
Santiago del Estero,AR086,Santiago del Estero,,,Argentina,AR,2020-05-04,2020-05-04,
Tucumán,AR090,Tucuman,,,Argentina,AR,2020-05-04,2020-05-04,
Tierra del Fuego,AR094,Tierra del Fuego,,,Argentina,AR,2020-05-04,2020-05-04,
