admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Adrar,MR01,,,,Mauritania,MR,2020-06-12,2020-07-31,
Assaba,MR02,,,,Mauritania,MR,2020-06-12,2020-07-31,
Brakna,MR03,,,,Mauritania,MR,2020-06-12,2020-07-31,
Dakhlet-Nouadhibou,MR04,,,,Mauritania,MR,2020-06-12,2020-07-31,
Gorgol,MR05,,,,Mauritania,MR,2020-06-12,2020-07-31,
Guidimakha,MR06,,,,Mauritania,MR,2020-06-12,2020-07-31,
Hodh El Chargi,MR07,,,,Mauritania,MR,2020-06-12,2020-07-31,
Hodh El Gharbi,MR08,,,,Mauritania,MR,2020-06-12,2020-07-31,
Inchiri,MR09,,,,Mauritania,MR,2020-06-12,2020-07-31,
Nouakchott,MR10,,,,Mauritania,MR,2020-06-12,2020-07-31,
Tagant,MR11,,,,Mauritania,MR,2020-06-12,2020-07-31,
Trarza,MR12,,,,Mauritania,MR,2020-06-12,2020-07-31,
Tris-Zemmour,MR13,,,,Mauritania,MR,2020-06-12,2020-07-31,
