admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ar,admin1AltName2_ar,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Ibb,اب,YE11,Ibb,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Abyan,ابين,YE12,Abyan,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Sana'a City,امانة العاصمه,YE13,Sanaa City,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Bayda,البيضاء,YE14,Al Bayda,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ta'iz,تعز,YE15,Taiz,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Jawf,الجوف,YE16,Al Jawf,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Hajjah,حجه,YE17,Hajjah,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Hodeidah,الحديده,YE18,Al Hodeidah,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Hadramawt,حضرموت,YE19,Hadramawt,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Dhamar,ذمار,YE20,Dhamar,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Shabwah,شبوه,YE21,Shabwah,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Sa'dah,صعده,YE22,Sadah,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Sana'a,صنعاء,YE23,Sanaa,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Aden,عدن,YE24,Aden,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Lahj,لحج,YE25,Lahj,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ma'rib,مارب,YE26,Marib,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Mahwit,المحويت,YE27,Al Mahwit,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Al Maharah,المهره,YE28,Al Maharah,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Amran,عمران,YE29,Amran,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Ad Dali',الضالع,YE30,Ad Dali,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Raymah,ريمه,YE31,Raymah,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
Socotra,سقطرى,YE32,Socotra,,,,,Yemen,اليمن,YE,2019-02-01,2019-10-02,
