#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:388:1:1,1,1603:45:16:388:0,1603:45:16:388:1:1,Clarendon,JM01,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:2,2,1603:45:16:388:0,1603:45:16:388:1:2,Hanover,JM02,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:4,4,1603:45:16:388:0,1603:45:16:388:1:4,Manchester,JM04,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:7,7,1603:45:16:388:0,1603:45:16:388:1:7,Portland,JM07,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:8,8,1603:45:16:388:0,1603:45:16:388:1:8,Saint Andrew,JM08,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:9,9,1603:45:16:388:0,1603:45:16:388:1:9,Saint Ann,JM09,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:10,10,1603:45:16:388:0,1603:45:16:388:1:10,Saint Catherine,JM10,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:11,11,1603:45:16:388:0,1603:45:16:388:1:11,Saint Elizabeth,JM11,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:12,12,1603:45:16:388:0,1603:45:16:388:1:12,Saint James,JM12,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:13,13,1603:45:16:388:0,1603:45:16:388:1:13,Saint Mary,JM13,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:14,14,1603:45:16:388:0,1603:45:16:388:1:14,Saint Thomas,JM14,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:15,15,1603:45:16:388:0,1603:45:16:388:1:15,Trelawny,JM15,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:16,16,1603:45:16:388:0,1603:45:16:388:1:16,Westmoreland,JM16,,,,Jamaica,JM,2017-09-09,2019-10-08,
1603:45:16:388:1:17,17,1603:45:16:388:0,1603:45:16:388:1:17,Kingston,JM17,,,,Jamaica,JM,2017-09-09,2019-10-08,
