qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:729:1:1,1,1603:45:16:729:0,1603:45:16:729:1:1,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:2,2,1603:45:16:729:0,1603:45:16:729:1:2,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:3,3,1603:45:16:729:0,1603:45:16:729:1:3,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:4,4,1603:45:16:729:0,1603:45:16:729:1:4,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:5,5,1603:45:16:729:0,1603:45:16:729:1:5,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:6,6,1603:45:16:729:0,1603:45:16:729:1:6,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:7,7,1603:45:16:729:0,1603:45:16:729:1:7,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:8,8,1603:45:16:729:0,1603:45:16:729:1:8,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:9,9,1603:45:16:729:0,1603:45:16:729:1:9,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:10,10,1603:45:16:729:0,1603:45:16:729:1:10,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:11,11,1603:45:16:729:0,1603:45:16:729:1:11,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:12,12,1603:45:16:729:0,1603:45:16:729:1:12,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:13,13,1603:45:16:729:0,1603:45:16:729:1:13,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:14,14,1603:45:16:729:0,1603:45:16:729:1:14,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:15,15,1603:45:16:729:0,1603:45:16:729:1:15,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:16,16,1603:45:16:729:0,1603:45:16:729:1:16,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:17,17,1603:45:16:729:0,1603:45:16:729:1:17,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:18,18,1603:45:16:729:0,1603:45:16:729:1:18,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:1:19,19,1603:45:16:729:0,1603:45:16:729:1:19,Abyei PCA,إدارية أبيي,SD19,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
