#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Maseru,LSA,,,,Lesotho,LS,2019-01-08,2020-02-20,
Butha-Buthe,LSB,,,,Lesotho,LS,2019-01-08,2020-02-20,
Leribe,LSC,,,,Lesotho,LS,2019-01-08,2020-02-20,
Berea,LSD,,,,Lesotho,LS,2019-01-08,2020-02-20,
Mafeteng,LSE,,,,Lesotho,LS,2019-01-08,2020-02-20,
Mohale's Hoek,LSF,,,,Lesotho,LS,2019-01-08,2020-02-20,
Quthing,LSG,,,,Lesotho,LS,2019-01-08,2020-02-20,
Qacha's Nek,LSH,,,,Lesotho,LS,2019-01-08,2020-02-20,
Mokhotlong,LSJ,,,,Lesotho,LS,2019-01-08,2020-02-20,
Thaba-Tseka,LSK,,,,Lesotho,LS,2019-01-08,2020-02-20,
