#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ibb,اب,YE11,Ibb,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Abyan,ابين,YE12,Abyan,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Sana'a City,امانة العاصمه,YE13,Sanaa City,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Al Bayda,البيضاء,YE14,Al Bayda,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Ta'iz,تعز,YE15,Taiz,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Al Jawf,الجوف,YE16,Al Jawf,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Hajjah,حجه,YE17,Hajjah,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Al Hodeidah,الحديده,YE18,Al Hodeidah,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Hadramawt,حضرموت,YE19,Hadramawt,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Dhamar,ذمار,YE20,Dhamar,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Shabwah,شبوه,YE21,Shabwah,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Sa'dah,صعده,YE22,Sadah,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Sana'a,صنعاء,YE23,Sanaa,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Aden,عدن,YE24,Aden,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Lahj,لحج,YE25,Lahj,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Ma'rib,مارب,YE26,Marib,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Al Mahwit,المحويت,YE27,Al Mahwit,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Al Maharah,المهره,YE28,Al Maharah,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Amran,عمران,YE29,Amran,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Ad Dali',الضالع,YE30,Ad Dali,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Raymah,ريمه,YE31,Raymah,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
Socotra,سقطرى,YE32,Socotra,,,,,Yemen,اليمن,YE,2019-02-01,2021-02-11,
