#adm1+name+i_eng+is_latn,#adm1+name+i_kaz+is_zyyy,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_kaz+is_zyyy,#adm1+name+alt2+i_kaz+is_zyyy,#adm1+name+alt1+i_rus+is_cyrl,#adm1+name+alt2+i_rus+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_kaz+is_zyyy,#country+name+i_rus+is_cyrl,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Akmola,Ақмола,Акмолинская ,KZ11,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Aktobe,Ақтөбе ,Актюбинская ,KZ15,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Almaty,Алматы,Алматинская ,KZ19,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Atyrau,Атырау ,Атырауская ,KZ23,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Jambyl,Жамбыл ,Жамбылская ,KZ31,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Karagandy,Қарағанды ,Карагандинская ,KZ35,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Kostanay,Қостанай ,Костанайская ,KZ39,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Mangystau,Маңғыстау ,Мангистауская ,KZ47,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Pavlodar,Павлодар ,Павлодарская ,KZ55,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
North Kazakhstan,Солтүстiк Қазақстан ,Северо-Казахстанская ,KZ59,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Turkestan,Түркістан ,Туркестанская,KZ61,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
East Kazakhstan,Шығыс Қазақстан ,Восточно-Казахстанская ,KZ63,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Nur-Sultan (city),Нұр-Сұлтан,Нур-Султан,KZ71,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Almaty (city),Алматы (қала),Алматы ,KZ75,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Shymkent (city),Шымкент,Чимкент,KZ79,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
