qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:384:1:1,1,1603:45:16:384:0,1603:45:16:384:1:1,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:2,2,1603:45:16:384:0,1603:45:16:384:1:2,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:3,3,1603:45:16:384:0,1603:45:16:384:1:3,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:4,4,1603:45:16:384:0,1603:45:16:384:1:4,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:5,5,1603:45:16:384:0,1603:45:16:384:1:5,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:6,6,1603:45:16:384:0,1603:45:16:384:1:6,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:7,7,1603:45:16:384:0,1603:45:16:384:1:7,Bere,CI07,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:8,8,1603:45:16:384:0,1603:45:16:384:1:8,Bounkani,CI08,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:9,9,1603:45:16:384:0,1603:45:16:384:1:9,Cavally,CI09,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:10,10,1603:45:16:384:0,1603:45:16:384:1:10,Folon,CI10,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:11,11,1603:45:16:384:0,1603:45:16:384:1:11,Gbeke,CI11,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:12,12,1603:45:16:384:0,1603:45:16:384:1:12,Gbokle,CI12,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:13,13,1603:45:16:384:0,1603:45:16:384:1:13,Goh,CI13,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:14,14,1603:45:16:384:0,1603:45:16:384:1:14,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:15,15,1603:45:16:384:0,1603:45:16:384:1:15,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:16,16,1603:45:16:384:0,1603:45:16:384:1:16,Guemon,CI16,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:17,17,1603:45:16:384:0,1603:45:16:384:1:17,Hambol,CI17,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:18,18,1603:45:16:384:0,1603:45:16:384:1:18,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:19,19,1603:45:16:384:0,1603:45:16:384:1:19,Iffou,CI19,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:20,20,1603:45:16:384:0,1603:45:16:384:1:20,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:21,21,1603:45:16:384:0,1603:45:16:384:1:21,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:22,22,1603:45:16:384:0,1603:45:16:384:1:22,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:23,23,1603:45:16:384:0,1603:45:16:384:1:23,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:24,24,1603:45:16:384:0,1603:45:16:384:1:24,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:1:25,25,1603:45:16:384:0,1603:45:16:384:1:25,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
