#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_ar,#adm1+name+alt2+i_ar,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Damascus,دمشق,SY01,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Aleppo,حلب,SY02,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Rural Damascus,ريف دمشق,SY03,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Homs,حمص,SY04,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hama,حماة,SY05,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Lattakia,اللاذقية,SY06,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Idleb,إدلب,SY07,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Hasakeh,الحسكة,SY08,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Deir-ez-Zor,دير الزور,SY09,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tartous,طرطوس,SY10,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ar-Raqqa,الرقة,SY11,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dar'a,درعا,SY12,Dara,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Sweida,السويداء,SY13,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Quneitra,القنيطرة,SY14,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
