#adm1+name+i_es,#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_es,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Distrito Federal,,VE01,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Amazonas,,VE02,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Anzoategui,,VE03,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Apure,,VE04,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Aragua,,VE05,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Barinas,,VE06,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Bolivar,,VE07,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Carabobo,,VE08,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Cojedes,,VE09,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Delta Amacuro,,VE10,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Falcon,,VE11,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Guarico,,VE12,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Lara,,VE13,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Merida,,VE14,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Miranda,,VE15,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Monagas,,VE16,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Nueva Esparta,,VE17,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Portuguesa,,VE18,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Sucre,,VE19,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Tachira,,VE20,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Trujillo,,VE21,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Yaracuy,,VE22,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Zulia,,VE23,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
Vargas,,VE24,,,,,,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
