#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Choiseul,SB01,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Western,SB02,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Isabel,SB03,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Central,SB04,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Rennell-Bell,SB05,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Guadalcanal,SB06,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Malaita,SB07,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Makira-Ulawa,SB08,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Temotu,SB09,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Honiara,SB10,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
