#adm1+name+i_es,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Guatemala,GT01,Guatemala,,,Guatemala,GT,2019-02-15,2019-11-10,
El Progreso,GT02,El Progreso,,,Guatemala,GT,2019-02-15,2019-11-10,
Sacatepéquez,GT03,Sacatepequez,,,Guatemala,GT,2019-02-15,2019-11-10,
Chimaltenango,GT04,Chimaltenango,,,Guatemala,GT,2019-02-15,2019-11-10,
Escuintla,GT05,Escuintla,,,Guatemala,GT,2019-02-15,2019-11-10,
Santa Rosa,GT06,Santa Rosa,,,Guatemala,GT,2019-02-15,2019-11-10,
Sololá,GT07,Solola,,,Guatemala,GT,2019-02-15,2019-11-10,
Totonicapán,GT08,Totonicapan,,,Guatemala,GT,2019-02-15,2019-11-10,
Quetzaltenango,GT09,Quetzaltenango,,,Guatemala,GT,2019-02-15,2019-11-10,
Suchitepéquez,GT10,Suchitepequez,,,Guatemala,GT,2019-02-15,2019-11-10,
Retalhuleu,GT11,Retalhuleu,,,Guatemala,GT,2019-02-15,2019-11-10,
San Marcos,GT12,San Marcos,,,Guatemala,GT,2019-02-15,2019-11-10,
Huehuetenango,GT13,Huehuetenango,,,Guatemala,GT,2019-02-15,2019-11-10,
Quiché,GT14,Quiche,,,Guatemala,GT,2019-02-15,2019-11-10,
Baja Verapaz,GT15,Baja Verapaz,,,Guatemala,GT,2019-02-15,2019-11-10,
Alta Verapaz,GT16,Alta Verapaz,,,Guatemala,GT,2019-02-15,2019-11-10,
Petén,GT17,Peten,,,Guatemala,GT,2019-02-15,2019-11-10,
Izabal,GT18,Izabal,,,Guatemala,GT,2019-02-15,2019-11-10,
Zacapa,GT19,Zacapa,,,Guatemala,GT,2019-02-15,2019-11-10,
Chiquimula,GT20,Chiquimula,,,Guatemala,GT,2019-02-15,2019-11-10,
Jalapa,GT21,Jalapa,,,Guatemala,GT,2019-02-15,2019-11-10,
Jutiapa,GT22,Jutiapa,,,Guatemala,GT,2019-02-15,2019-11-10,
