#adm3+name+i_en,#adm3+name+i_th,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_th,#adm3+name+alt2+i_th,#adm2+name+i_en,#adm2+name+i_th,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_th,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_th,#country+code+v_iso2,#date+start,#date+updated,#date+end
Phraborom Maharatchawang,พระบรมมหาราชวัง,TH100101,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Burapha Phirom,วังบูรพาภิรมย์,TH100102,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Ratchabophit,วัดราชบพิธ,TH100103,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samran Rat,สำราญราษฎร์,TH100104,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
San Chaopho Suea,ศาลเจ้าพ่อเสือ,TH100105,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sao Chingcha,เสาชิงช้า,TH100106,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bowon Niwet,บวรนิเวศ,TH100107,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Talat Yot,ตลาดยอด,TH100108,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chana Songkhram,ชนะสงคราม,TH100109,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Phan Thom,บ้านพานถม,TH100110,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khun Phrom,บางขุนพรหม,TH100111,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Sam Phraya,วัดสามพระยา,TH100112,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Dusit,ดุสิต,TH100201,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wachira Phayaban,วชิรพยาบาล,TH100202,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suan Chitlada,สวนจิตรลดา,TH100203,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Yaek Mahanak,สี่แยกมหานาค,TH100204,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thanon Nakhon Chaisi,ถนนนครไชยศรี,TH100206,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Krathum Rai,กระทุ่มราย,TH100301,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Chok,หนองจอก,TH100302,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Sip,คลองสิบ,TH100303,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Sip Song,คลองสิบสอง,TH100304,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khok Faet,โคกแฝด,TH100305,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khu Fung Nuea,คู้ฝั่งเหนือ,TH100306,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Phak Chi,ลำผักชี,TH100307,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Toiting,ลำต้อยติ่ง,TH100308,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Maha Phruettharam,มหาพฤฒาราม,TH100401,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Lom,สีลม,TH100402,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suriyawong,สุริยวงศ์,TH100403,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Rak,บางรัก,TH100404,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Phraya,สี่พระยา,TH100405,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Anusawari,อนุสาวรีย์,TH100502,,,,,,Bang Khen,บางเขน,TH1005,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Raeng,ท่าแร้ง,TH100508,,,,,,Bang Khen,บางเขน,TH1005,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Chan,คลองจั่น,TH100601,,,,,,Bang Kapi,บางกะปิ,TH1006,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Hua Mak,หัวหมาก,TH100608,,,,,,Bang Kapi,บางกะปิ,TH1006,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Rong Mueang,รองเมือง,TH100701,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Mai,วังใหม่,TH100702,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pathum Wan,ปทุมวัน,TH100703,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lumphini,ลุมพินี,TH100704,,,,,,Pathum Wan,ปทุมวัน,TH1007,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pom Prap,ป้อมปราบ,TH100801,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Thepsirin,วัดเทพศิรินทร์,TH100802,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Mahanak,คลองมหานาค,TH100803,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Bat,บ้านบาตร,TH100804,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Sommanat,วัดโสมนัส,TH100805,,,,,,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Chak,บางจาก,TH100905,,,,,,Phra Khanong,พระโขนง,TH1009,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Min Buri,มีนบุรี,TH101001,,,,,,Min Buri,มีนบุรี,TH1010,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Saen Saep,แสนแสบ,TH101002,,,,,,Min Buri,มีนบุรี,TH1010,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lat Krabang,ลาดกระบัง,TH101101,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Song Ton Nun,คลองสองต้นนุ่น,TH101102,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Sam Prawet,คลองสามประเวศ,TH101103,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Pla Thio,ลำปลาทิว,TH101104,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thap Yao,ทับยาว,TH101105,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khum Thong,ขุมทอง,TH101106,,,,,,Lat Krabang,ลาดกระบัง,TH1011,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chong Nonsi,ช่องนนทรี,TH101203,,,,,,Yan Nawa,ยานนาวา,TH1012,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Phongphang,บางโพงพาง,TH101204,,,,,,Yan Nawa,ยานนาวา,TH1012,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chakkrawat,จักรวรรดิ,TH101301,,,,,,Samphanthawong,สัมพันธวงศ์,TH1013,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samphanthawong,สัมพันธวงศ์,TH101302,,,,,,Samphanthawong,สัมพันธวงศ์,TH1013,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Talat Noi,ตลาดน้อย,TH101303,,,,,,Samphanthawong,สัมพันธวงศ์,TH1013,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sam Sen Nai,สามเสนใน,TH101401,,,,,,Phaya Thai,พญาไท,TH1014,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Kanlaya,วัดกัลยาณ์,TH101501,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Hiranruchi,หิรัญรูจี,TH101502,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Yi Ruea,บางยี่เรือ,TH101503,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bukkhalo,บุคคโล,TH101504,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Talat Phlu,ตลาดพลู,TH101505,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Dao Khanong,ดาวคะนอง,TH101506,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samre,สำเหร่,TH101507,,,,,,Thon Buri,ธนบุรี,TH1015,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Arun,วัดอรุณ,TH101601,,,,,,Bangkok Yai,บางกอกใหญ่,TH1016,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Tha Phra,วัดท่าพระ,TH101602,,,,,,Bangkok Yai,บางกอกใหญ่,TH1016,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Huai Khwang,ห้วยขวาง,TH101701,,,,,,Huai Khwang,ห้วยขวาง,TH1017,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Kapi,บางกะปิ,TH101702,,,,,,Huai Khwang,ห้วยขวาง,TH1017,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sam Sen Nok,สามเสนนอก,TH101704,,,,,,Huai Khwang,ห้วยขวาง,TH1017,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Somdet Chaophraya,สมเด็จเจ้าพระยา,TH101801,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong San,คลองสาน,TH101802,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Lamphu Lang,บางลำภูล่าง,TH101803,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Ton Sai,คลองต้นไทร,TH101804,,,,,,Khlong San,คลองสาน,TH1018,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Chak Phra,คลองชักพระ,TH101901,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Taling Chan,ตลิ่งชัน,TH101902,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chimphli,ฉิมพลี,TH101903,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Phrom,บางพรม,TH101904,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Ramat,บางระมาด,TH101905,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Chueak Nang,บางเชือกหนัง,TH101907,,,,,,Taling Chan,ตลิ่งชัน,TH1019,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sirirat,ศิริราช,TH102004,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Chang Lo,บ้านช่างหล่อ,TH102005,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khun Non,บางขุนนนท์,TH102006,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khun Si,บางขุนศรี,TH102007,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Arun Ammarin,อรุณอมรินทร์,TH102009,,,,,,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Kham,ท่าข้าม,TH102105,,,,,,Bang Khun Thian,บางขุนเทียน,TH1021,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samae Dam,แสมดำ,TH102107,,,,,,Bang Khun Thian,บางขุนเทียน,TH1021,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Wa,บางหว้า,TH102201,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Duan,บางด้วน,TH102202,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Chak,บางจาก,TH102206,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Waek,บางแวก,TH102207,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Khwang,คลองขวาง,TH102208,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pak Khlong Phasi Charoen,ปากคลองภาษีเจริญ,TH102209,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khuha Sawan,คูหาสวรรค์,TH102210,,,,,,Phasi Charoen,ภาษีเจริญ,TH1022,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Khaem,หนองแขม,TH102302,,,,,,Nong Khaem,หนองแขม,TH1023,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Khang Phlu,หนองค้างพลู,TH102303,,,,,,Nong Khaem,หนองแขม,TH1023,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Rat Burana,ราษฎร์บูรณะ,TH102401,,,,,,Rat Burana,ราษฎร์บูรณะ,TH1024,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Pakok,บางปะกอก,TH102402,,,,,,Rat Burana,ราษฎร์บูรณะ,TH1024,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Phlat,บางพลัด,TH102501,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang O,บางอ้อ,TH102502,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Bamru,บางบำหรุ,TH102503,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Yi Khan,บางยี่ขัน,TH102504,,,,,,Bang Phlat,บางพลัด,TH1025,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Din Daeng,ดินแดง,TH102601,,,,,,Din Daeng,ดินแดง,TH1026,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Kum,คลองกุ่ม,TH102701,,,,,,Bueng Kum,บึงกุ่ม,TH1027,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nawamin,นวมินทร์,TH102704,,,,,,Bueng Kum,บึงกุ่ม,TH1027,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nuan Chan,นวลจันทร์,TH102705,,,,,,Bueng Kum,บึงกุ่ม,TH1027,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thung Wat Don,ทุ่งวัดดอน,TH102801,,,,,,Sathon,สาทร,TH1028,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Yan Nawa,ยานนาวา,TH102802,,,,,,Sathon,สาทร,TH1028,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thung Mahamek,ทุ่งมหาเมฆ,TH102803,,,,,,Sathon,สาทร,TH1028,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Sue,บางซื่อ,TH102901,,,,,,Bang Sue,บางซื่อ,TH1029,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wong Sawang,วงศ์สว่าง,TH102902,,,,,,Bang Sue,บางซื่อ,TH1029,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lat Yao,ลาดยาว,TH103001,,,,,,Chatuchak,จตุจักร,TH1030,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sena Nikhom,เสนานิคม,TH103002,,,,,,Chatuchak,จตุจักร,TH1030,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chantharakasem,จันทรเกษม,TH103003,,,,,,Chatuchak,จตุจักร,TH1030,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chomphon,จอมพล,TH103004,,,,,,Chatuchak,จตุจักร,TH1030,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chatuchak,จตุจักร,TH103005,,,,,,Chatuchak,จตุจักร,TH1030,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Kho Laem,บางคอแหลม,TH103101,,,,,,Bang Kho Laem,บางคอแหลม,TH1031,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Phraya Krai,วัดพระยาไกร,TH103102,,,,,,Bang Kho Laem,บางคอแหลม,TH1031,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khlo,บางโคล่,TH103103,,,,,,Bang Kho Laem,บางคอแหลม,TH1031,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Prawet,ประเวศ,TH103201,,,,,,Prawet,ประเวศ,TH1032,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Bon,หนองบอน,TH103202,,,,,,Prawet,ประเวศ,TH1032,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Dokmai,ดอกไม้,TH103203,,,,,,Prawet,ประเวศ,TH1032,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Toei,คลองเตย,TH103301,,,,,,Khlong Toei,คลองเตย,TH1033,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Tan,คลองตัน,TH103302,,,,,,Khlong Toei,คลองเตย,TH1033,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Khanong,พระโขนง,TH103303,,,,,,Khlong Toei,คลองเตย,TH1033,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suan Luang,สวนหลวง,TH103401,,,,,,Suan Luang,สวนหลวง,TH1034,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khun Thian,บางขุนเทียน,TH103501,,,,,,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Kho,บางค้อ,TH103502,,,,,,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Mot,บางมด,TH103503,,,,,,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chom Thong,จอมทอง,TH103504,,,,,,Chom Thong,จอมทอง,TH1035,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Kan,สีกัน,TH103602,,,,,,Don Mueang,ดอนเมือง,TH1036,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Don Mueang,ดอนเมือง,TH103604,,,,,,Don Mueang,ดอนเมือง,TH1036,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
