#adm1+name+i_es,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Artigas,UY01,,,,Uraguay,UY,2017-10-11,2020-07-27,
Canelones,UY02,,,,Uraguay,UY,2017-10-11,2020-07-27,
Cerro Largo,UY03,,,,Uraguay,UY,2017-10-11,2020-07-27,
Colonia,UY04,,,,Uraguay,UY,2017-10-11,2020-07-27,
Durazno,UY05,,,,Uraguay,UY,2017-10-11,2020-07-27,
Flores,UY06,,,,Uraguay,UY,2017-10-11,2020-07-27,
Florida,UY07,,,,Uraguay,UY,2017-10-11,2020-07-27,
Lavalleja,UY08,,,,Uraguay,UY,2017-10-11,2020-07-27,
Maldonado,UY09,,,,Uraguay,UY,2017-10-11,2020-07-27,
Montevideo,UY10,,,,Uraguay,UY,2017-10-11,2020-07-27,
Paysandú,UY11,,,,Uraguay,UY,2017-10-11,2020-07-27,
Río Negro,UY12,,,,Uraguay,UY,2017-10-11,2020-07-27,
Rivera,UY13,,,,Uraguay,UY,2017-10-11,2020-07-27,
Rocha,UY14,,,,Uraguay,UY,2017-10-11,2020-07-27,
Salto,UY15,,,,Uraguay,UY,2017-10-11,2020-07-27,
San José,UY16,,,,Uraguay,UY,2017-10-11,2020-07-27,
Soriano,UY17,,,,Uraguay,UY,2017-10-11,2020-07-27,
Tacuarembó,UY18,,,,Uraguay,UY,2017-10-11,2020-07-27,
Treinta y Tres,UY19,,,,Uraguay,UY,2017-10-11,2020-07-27,
