id	digit	arabic_indic	extended_arabic_indic	nko	devanagari	bengali	gurmukhi	gujarati	oriya	tamil	telugu	kannada	malayalam	sinhala_lith	thai	lao	tibetan	myanmar	myanmar_shan	khmer	mongolian	limbu	new_tai_lue	tai_tham_hora	tai_tham_tham	balinese	sundanese	lepcha	ol_chiki	vai	saurashtra	kayah_li	javanese	myanmar_tai_laing	cham	meetei_mayek	fullwidth	osmanya	hanifi_rohingya	brahmi	sora_sompeng	chakma	sharada	khudawadi	newa	tirhuta	modi	takri	ahom	warang_citi	dives_akuru	bhaiksuki	masaram_gondi	gunjala_gondi	mro	tangsa	pahawh_hmong	nyiakeng_puachue_hmong	wancho	adlam	segmented
#item+conceptum+codicem	#item+mul+zmth+ix_unicode+ix_u30	#item+mul+zmth+ix_unicode+ix_u660	#item+mul+zmth+ix_unicode+ix_u6f0	#item+mul+zmth+ix_unicode+ix_u7c0	#item+mul+zmth+ix_unicode+ix_u966	#item+mul+zmth+ix_unicode+ix_u9e6	#item+mul+zmth+ix_unicode+ix_ua66	#item+mul+zmth+ix_unicode+ix_uae6	#item+mul+zmth+ix_unicode+ix_ub66	#item+mul+zmth+ix_unicode+ix_ube6	#item+mul+zmth+ix_unicode+ix_uc66	#item+mul+zmth+ix_unicode+ix_uce6	#item+mul+zmth+ix_unicode+ix_ud66	#item+mul+zmth+ix_unicode+ix_ude6	#item+mul+zmth+ix_unicode+ix_ue50	#item+mul+zmth+ix_unicode+ix_ued0	#item+mul+zmth+ix_unicode+ix_uf20	#item+mul+zmth+ix_unicode+ix_u1040	#item+mul+zmth+ix_unicode+ix_u1090	#item+mul+zmth+ix_unicode+ix_u17e0	#item+mul+zmth+ix_unicode+ix_u1810	#item+mul+zmth+ix_unicode+ix_u1946	#item+mul+zmth+ix_unicode+ix_u19d0	#item+mul+zmth+ix_unicode+ix_u1a80	#item+mul+zmth+ix_unicode+ix_u1a90	#item+mul+zmth+ix_unicode+ix_u1b50	#item+mul+zmth+ix_unicode+ix_u1bb0	#item+mul+zmth+ix_unicode+ix_u1c40	#item+mul+zmth+ix_unicode+ix_u1c50	#item+mul+zmth+ix_unicode+ix_ua620	#item+mul+zmth+ix_unicode+ix_ua8d0	#item+mul+zmth+ix_unicode+ix_ua900	#item+mul+zmth+ix_unicode+ix_ua9d0	#item+mul+zmth+ix_unicode+ix_ua9f0	#item+mul+zmth+ix_unicode+ix_uaa50	#item+mul+zmth+ix_unicode+ix_uabf0	#item+mul+zmth+ix_unicode+ix_uff10	#item+mul+zmth+ix_unicode+ix_u104a0	#item+mul+zmth+ix_unicode+ix_u10d30	#item+mul+zmth+ix_unicode+ix_u11066	#item+mul+zmth+ix_unicode+ix_u110f0	#item+mul+zmth+ix_unicode+ix_u11136	#item+mul+zmth+ix_unicode+ix_u111d0	#item+mul+zmth+ix_unicode+ix_u112f0	#item+mul+zmth+ix_unicode+ix_u11450	#item+mul+zmth+ix_unicode+ix_u114d0	#item+mul+zmth+ix_unicode+ix_u11650	#item+mul+zmth+ix_unicode+ix_u116c0	#item+mul+zmth+ix_unicode+ix_u11730	#item+mul+zmth+ix_unicode+ix_u118e0	#item+mul+zmth+ix_unicode+ix_u11950	#item+mul+zmth+ix_unicode+ix_u11c50	#item+mul+zmth+ix_unicode+ix_u11d50	#item+mul+zmth+ix_unicode+ix_u11da0	#item+mul+zmth+ix_unicode+ix_u16a60	#item+mul+zmth+ix_unicode+ix_u16ac0	#item+mul+zmth+ix_unicode+ix_u16b50	#item+mul+zmth+ix_unicode+ix_u1e140	#item+mul+zmth+ix_unicode+ix_u1e2f0	#item+mul+zmth+ix_unicode+ix_u1e950	#item+mul+zmth+ix_unicode+ix_u1fbf0
0	0	٠	۰	߀	०	০	੦	૦	୦	௦	౦	೦	൦	෦	๐	໐	༠	၀	႐	០	᠐	᥆	᧐	᪀	᪐	᭐	᮰	᱀	᱐	꘠	꣐	꤀	꧐	꧰	꩐	꯰	０	𐒠	𐴰	𑁦	𑃰	𑄶	𑇐	𑋰	𑑐	𑓐	𑙐	𑛀	𑜰	𑣠	𑥐	𑱐	𑵐	𑶠	𖩠	𖫀	𖭐	𞅀	𞋰	𞥐	🯰
1	1	١	۱	߁	१	১	੧	૧	୧	௧	౧	೧	൧	෧	๑	໑	༡	၁	႑	១	᠑	᥇	᧑	᪁	᪑	᭑	᮱	᱁	᱑	꘡	꣑	꤁	꧑	꧱	꩑	꯱	１	𐒡	𐴱	𑁧	𑃱	𑄷	𑇑	𑋱	𑑑	𑓑	𑙑	𑛁	𑜱	𑣡	𑥑	𑱑	𑵑	𑶡	𖩡	𖫁	𖭑	𞅁	𞋱	𞥑	🯱
2	2	٢	۲	߂	२	২	੨	૨	୨	௨	౨	೨	൨	෨	๒	໒	༢	၂	႒	២	᠒	᥈	᧒	᪂	᪒	᭒	᮲	᱂	᱒	꘢	꣒	꤂	꧒	꧲	꩒	꯲	２	𐒢	𐴲	𑁨	𑃲	𑄸	𑇒	𑋲	𑑒	𑓒	𑙒	𑛂	𑜲	𑣢	𑥒	𑱒	𑵒	𑶢	𖩢	𖫂	𖭒	𞅂	𞋲	𞥒	🯲
3	3	٣	۳	߃	३	৩	੩	૩	୩	௩	౩	೩	൩	෩	๓	໓	༣	၃	႓	៣	᠓	᥉	᧓	᪃	᪓	᭓	᮳	᱃	᱓	꘣	꣓	꤃	꧓	꧳	꩓	꯳	３	𐒣	𐴳	𑁩	𑃳	𑄹	𑇓	𑋳	𑑓	𑓓	𑙓	𑛃	𑜳	𑣣	𑥓	𑱓	𑵓	𑶣	𖩣	𖫃	𖭓	𞅃	𞋳	𞥓	🯳
4	4	٤	۴	߄	४	৪	੪	૪	୪	௪	౪	೪	൪	෪	๔	໔	༤	၄	႔	៤	᠔	᥊	᧔	᪄	᪔	᭔	᮴	᱄	᱔	꘤	꣔	꤄	꧔	꧴	꩔	꯴	４	𐒤	𐴴	𑁪	𑃴	𑄺	𑇔	𑋴	𑑔	𑓔	𑙔	𑛄	𑜴	𑣤	𑥔	𑱔	𑵔	𑶤	𖩤	𖫄	𖭔	𞅄	𞋴	𞥔	🯴
5	5	٥	۵	߅	५	৫	੫	૫	୫	௫	౫	೫	൫	෫	๕	໕	༥	၅	႕	៥	᠕	᥋	᧕	᪅	᪕	᭕	᮵	᱅	᱕	꘥	꣕	꤅	꧕	꧵	꩕	꯵	５	𐒥	𐴵	𑁫	𑃵	𑄻	𑇕	𑋵	𑑕	𑓕	𑙕	𑛅	𑜵	𑣥	𑥕	𑱕	𑵕	𑶥	𖩥	𖫅	𖭕	𞅅	𞋵	𞥕	🯵
6	6	٦	۶	߆	६	৬	੬	૬	୬	௬	౬	೬	൬	෬	๖	໖	༦	၆	႖	៦	᠖	᥌	᧖	᪆	᪖	᭖	᮶	᱆	᱖	꘦	꣖	꤆	꧖	꧶	꩖	꯶	６	𐒦	𐴶	𑁬	𑃶	𑄼	𑇖	𑋶	𑑖	𑓖	𑙖	𑛆	𑜶	𑣦	𑥖	𑱖	𑵖	𑶦	𖩦	𖫆	𖭖	𞅆	𞋶	𞥖	🯶
7	7	٧	۷	߇	७	৭	੭	૭	୭	௭	౭	೭	൭	෭	๗	໗	༧	၇	႗	៧	᠗	᥍	᧗	᪇	᪗	᭗	᮷	᱇	᱗	꘧	꣗	꤇	꧗	꧷	꩗	꯷	７	𐒧	𐴷	𑁭	𑃷	𑄽	𑇗	𑋷	𑑗	𑓗	𑙗	𑛇	𑜷	𑣧	𑥗	𑱗	𑵗	𑶧	𖩧	𖫇	𖭗	𞅇	𞋷	𞥗	🯷
8	8	٨	۸	߈	८	৮	੮	૮	୮	௮	౮	೮	൮	෮	๘	໘	༨	၈	႘	៨	᠘	᥎	᧘	᪈	᪘	᭘	᮸	᱈	᱘	꘨	꣘	꤈	꧘	꧸	꩘	꯸	８	𐒨	𐴸	𑁮	𑃸	𑄾	𑇘	𑋸	𑑘	𑓘	𑙘	𑛈	𑜸	𑣨	𑥘	𑱘	𑵘	𑶨	𖩨	𖫈	𖭘	𞅈	𞋸	𞥘	🯸
